Model,F1-Score (Bad Class),Recall (Catch Rate),Precision,Accuracy
v1.0 NLP (Random Forest),0.7184,0.6459,0.809,0.876
v1.0 Baseline (Non-NLP),0.5436,0.4137,0.7924,0.84
