customer_zip_code_prefix,geolocation_lat,geolocation_lng
1140,-23.51877961656762,-46.668707598923476
1141,-23.52011919677996,-46.66584000098096
1142,-23.51993430515264,-46.6251300217966
1144,-23.52375483986375,-46.67201579877662
1150,-23.53286949347912,-46.6574641552888
1151,-23.531294001384985,-46.65640409394658
1152,-23.52976297446478,-46.655657718208005
1153,-23.528899184286484,-46.653736572999
1154,-23.53105219053323,-46.65897749694157
1155,-23.52899269085843,-46.66332089785909
1156,-23.5295707260661,-46.665109917017695
1189,-23.53210825506378,-46.63839470107914
1200,-23.531567773241413,-46.64986907784642
1201,-23.53560024965375,-46.64935629739165
1202,-23.53254550916093,-46.649174992786634
1203,-23.535415346240402,-46.64578356709849
1204,-23.53740232530147,-46.64333793316141
1205,-23.540422285042407,-46.639694812799306
1206,-23.536609489728185,-46.64244480598998
1207,-23.539369243407013,-46.638486209821714
1208,-23.538629283657414,-46.63879850083671
1209,-23.540729963085703,-46.64193701762936
1210,-23.54001446169717,-46.64255169727044
1211,-23.53775281626178,-46.64828925797796
1212,-23.537493461278807,-46.63974517262972
1213,-23.53641828005074,-46.64006458881068
1214,-23.539690634196997,-46.6462616555486
1215,-23.53610606771887,-46.64768840536092
1216,-23.533621731894478,-46.64767750916093
1217,-23.533271512767612,-46.64940663613022
1218,-23.53151235913791,-46.64923040487045
1219,-23.541467521784305,-46.64533737490615
1220,-23.544387199001655,-46.646171140169606
1221,-23.545862025535225,-46.64865339647412
1222,-23.54549460399061,-46.650239412718506
1223,-23.54385853621104,-46.64825318186277
1224,-23.541700665229538,-46.65257086372554
1225,-23.539683583126543,-46.649154719401
1226,-23.53796433221771,-46.6524429245354
1227,-23.54785986816893,-46.658684483755614
1228,-23.548027863876406,-46.65885543640624
1229,-23.539113681372296,-46.65672261893353
1230,-23.536610638496157,-46.65758461809682
1231,-23.537368424923542,-46.6596418411045
1232,-23.53676737440136,-46.65894785581968
1233,-23.53508762170351,-46.66150428628315
1234,-23.539587979497195,-46.664315262132895
1235,-23.53696646891052,-46.66424678602334
1236,-23.543693004717525,-46.66730969373587
1237,-23.54343710740668,-46.66857970266179
1238,-23.542944348058064,-46.65326703830284
1239,-23.54716236816894,-46.65543934860632
1240,-23.543513068267124,-46.658854865658775
1241,-23.54561360866176,-46.6571419730798
1242,-23.54677167554392,-46.65749567638062
1243,-23.548283805860088,-46.6593134403312
1244,-23.54997038412488,-46.660711431588645
1245,-23.54929680904841,-46.66409038190318
1246,-23.554528835160557,-46.6664913126551
1247,-23.550644849847075,-46.66920043865777
1248,-23.547336999163274,-46.66800983458364
1249,-23.548348576879796,-46.67079893852787
1250,-23.54775479265979,-46.67201761547111
1251,-23.547933502914184,-46.674594927145236
1252,-23.541830575220686,-46.67913146606285
1253,-23.544687097350565,-46.67914691801201
1254,-23.542531082982304,-46.68191419135562
1255,-23.546313293640743,-46.68140007144644
1256,-23.548154323330905,-46.68272870337296
1257,-23.54361420483005,-46.68766584999129
1258,-23.544731000836723,-46.68676936635128
1259,-23.54150682209015,-46.685164012767615
1262,-23.550856391462712,-46.67735184892536
1290,-23.54096134139296,-46.657748702752585
1301,-23.54892611157596,-46.65182114501704
1302,-23.547802863696884,-46.64783924999999
1303,-23.54919071579432,-46.64818240521669
1304,-23.55409477837729,-46.656003407510504
1305,-23.55168936303304,-46.65138434110452
