iter	Passed	Remaining
0	208	124949
1	249	74678
2	286	57050
3	324	48419
4	362	43088
5	398	39434
6	440	37294
7	614	45496
8	688	45243
9	742	43818
10	784	42018
11	818	40101
12	1180	53300
13	1238	51829
14	1279	49885
15	1315	48024
16	1351	46362
17	1386	44846
18	1424	43551
19	1471	42665
20	1516	41811
21	1559	40967
22	1597	40083
23	1638	39324
24	1722	39624
25	1775	39203
26	1830	38850
27	1885	38508
28	1936	38121
29	1975	37528
30	2010	36900
31	2043	36279
32	2075	35659
33	2108	35098
34	2137	34513
35	2168	33973
36	2201	33494
37	2237	33096
38	2271	32677
39	2303	32254
40	2334	31829
41	2366	31438
42	2397	31055
43	2428	30688
44	2459	30338
45	2491	30004
46	2524	29704
47	2557	29415
48	2590	29135
49	2626	28888
50	2660	28640
51	2693	28385
52	2727	28144
53	2768	27990
54	2802	27774
55	2836	27553
56	2867	27319
57	2905	27152
58	2943	26993
59	2977	26801
60	3011	26608
61	3048	26455
62	3086	26306
63	3131	26224
64	3170	26094
65	3207	25949
66	3246	25823
67	3289	25734
68	3321	25561
69	3356	25415
70	3393	25283
71	3427	25132
72	3462	24995
73	3503	24905
74	3540	24783
75	3577	24665
76	3609	24513
77	3644	24390
78	3680	24269
79	3712	24133
80	3747	24008
81	3786	23918
82	3820	23796
83	3855	23680
84	3888	23559
85	3923	23449
86	3953	23314
87	3988	23204
88	4022	23094
89	4056	22986
90	4086	22859
91	4120	22750
92	4150	22625
93	4182	22513
94	4211	22386
95	4244	22282
96	4276	22174
97	4316	22109
98	4349	22013
99	4383	21919
100	4418	21828
101	4451	21734
102	4486	21649
103	4521	21564
104	4551	21458
105	4584	21363
106	4618	21280
107	4653	21201
108	4682	21094
109	4715	21003
110	4749	20923
111	4780	20830
112	4818	20767
113	4850	20679
114	4891	20628
115	4923	20544
116	4954	20452
117	4995	20406
118	5028	20325
119	5063	20255
120	5094	20166
121	5126	20087
122	5155	19994
123	5189	19919
124	5222	19844
125	5258	19780
126	5294	19717
127	5338	19686
128	5378	19637
129	5415	19577
130	5452	19522
131	5493	19477
132	5530	19420
133	5564	19352
134	5596	19278
135	5629	19207
136	5659	19127
137	5691	19054
138	5723	18982
139	5757	18917
140	5790	18849
141	5823	18782
142	5863	18739
143	5900	18684
144	5935	18625
145	5967	18555
146	6004	18503
147	6039	18446
148	6071	18378
149	6105	18316
