iter	Passed	Remaining
150	6137	18249
151	6168	18179
152	6198	18109
153	6230	18044
154	6259	17971
155	6291	17905
156	6320	17835
157	6352	17772
158	6387	17715
159	6419	17654
160	6450	17587
161	6482	17527
162	6515	17467
163	6546	17402
164	6575	17334
165	6607	17273
166	6641	17219
167	6670	17151
168	6700	17089
169	6731	17026
170	6760	16961
171	6790	16896
172	6820	16834
173	6849	16769
174	6888	16729
175	6932	16700
176	6964	16644
177	7015	16631
178	7068	16624
179	7116	16605
180	7162	16579
181	7214	16569
182	7539	17180
183	7602	17188
184	7651	17165
185	7702	17144
186	7788	17201
187	7868	17242
188	7927	17239
189	7982	17225
190	8033	17201
191	8168	17358
192	8566	18064
193	8693	18193
194	8795	18266
195	8927	18401
196	9018	18450
197	9121	18519
198	9392	18926
199	9512	19025
200	9574	19006
201	9628	18971
202	9740	19049
203	9815	19053
204	9897	19070
205	10035	19194
206	10217	19399
207	10271	19357
208	10522	19686
209	10636	19753
210	10723	19769
211	10781	19731
212	10835	19686
213	10910	19679
214	10952	19613
215	10991	19539
216	11028	19464
217	11061	19383
218	11096	19305
219	11129	19224
220	11167	19151
221	11203	19076
222	11240	19002
223	11278	18932
224	11311	18852
225	11345	18775
226	11378	18697
227	11412	18620
228	11449	18549
229	11486	18478
230	11521	18404
231	11560	18336
232	11592	18259
233	11627	18185
234	11659	18109
235	11692	18034
236	11726	17961
237	11766	17896
238	11800	17824
239	11836	17755
240	11872	17686
241	11904	17611
242	11936	17536
243	11966	17459
244	12001	17389
245	12037	17322
246	12070	17251
247	12106	17183
248	12137	17109
249	12170	17038
250	12204	16969
251	12236	16897
252	12267	16824
253	12303	16760
254	12338	16693
255	12370	16622
256	12401	16551
257	12432	16480
258	12465	16411
259	12498	16343
260	12532	16277
261	12565	16210
262	12596	16140
263	12629	16073
264	12663	16008
265	12696	15941
266	12727	15873
267	12761	15809
268	12796	15745
269	12831	15682
270	12862	15615
271	12895	15550
272	12933	15491
273	12966	15427
274	13000	15364
275	13035	15302
276	13069	15239
277	13103	15177
278	13133	15110
279	13164	15045
280	13195	14980
281	13228	14917
282	13262	14855
283	13297	14795
284	13334	14738
285	13368	14677
286	13398	14611
287	13430	14549
288	13459	14484
289	13494	14424
290	13526	14363
291	13560	14304
292	13593	14243
293	13625	14181
294	13658	14121
295	13692	14062
296	13726	14004
297	13760	13945
298	13791	13884
299	13827	13827
300	13861	13769
301	13890	13706
302	13921	13645
303	13951	13584
304	13983	13525
305	14018	13468
306	14051	13410
307	14083	13351
308	14117	13295
309	14149	13236
310	14181	13178
311	14215	13121
312	14246	13063
313	14276	13003
314	14306	12943
315	14338	12886
316	14372	12831
317	14404	12774
318	14434	12714
319	14465	12657
320	14497	12600
321	14530	12544
322	14563	12489
323	14595	12433
324	14625	12375
325	14656	12318
326	14686	12261
327	14719	12206
328	14751	12151
329	14782	12094
330	14815	12040
331	14852	11989
332	14888	11937
333	14921	11883
334	14951	11827
335	14983	11772
336	15015	11717
337	15050	11666
338	15081	11611
339	15112	11556
340	15142	11500
341	15173	11446
342	15204	11392
343	15236	11338
344	15267	11284
345	15300	11232
346	15332	11179
347	15365	11126
348	15401	11076
349	15433	11023
350	15466	10972
351	15497	10918
352	15530	10866
353	15566	10817
354	15598	10765
355	15633	10715
356	15666	10664
357	15697	10611
358	15730	10559
359	15763	10508
360	15797	10458
361	15828	10406
362	15861	10355
363	15900	10309
364	15930	10256
365	15962	10205
366	15995	10155
367	16027	10104
368	16064	10056
369	16097	10006
370	16130	9956
371	16161	9905
372	16193	9854
373	16226	9805
374	16259	9755
375	16295	9708
376	16330	9659
377	16360	9608
378	16397	9561
379	16431	9513
380	16461	9462
381	16492	9412
382	16526	9363
383	16557	9313
384	16589	9264
385	16620	9214
386	16652	9165
387	16684	9116
388	16715	9066
389	16748	9018
390	16783	8971
391	16815	8922
392	16853	8877
393	16886	8828
394	16923	8782
395	16955	8734
396	16994	8690
397	17029	8643
398	17066	8597
399	17102	8551
400	17139	8505
401	17173	8458
402	17209	8412
403	17244	8366
404	17282	8321
405	17323	8277
406	17357	8231
407	17390	8183
408	17426	8138
409	17460	8091
410	17491	8043
411	17527	7997
412	17560	7950
413	17591	7903
414	17621	7855
415	17654	7808
416	17690	7763
417	17729	7719
418	17766	7674
419	17812	7633
420	17856	7592
421	17891	7546
422	17928	7501
423	17972	7460
424	18011	7416
425	18062	7377
426	18120	7341
427	18181	7306
428	18234	7268
429	18269	7222
430	18305	7177
431	18344	7134
432	18712	7217
433	21432	8197
434	21477	8146
435	21525	8096
436	21568	8045
437	21616	7995
438	21665	7945
439	21702	7891
440	21747	7840
441	21790	7789
442	21835	7738
443	21881	7688
444	21921	7635
445	22267	7688
446	22355	7651
447	22460	7620
448	22553	7584
449	22660	7553
450	22754	7517
451	22849	7481
452	22971	7454
453	23071	7419
454	23178	7386
455	23282	7352
456	23372	7313
457	23469	7276
458	23565	7239
459	23672	7204
460	23787	7172
461	23880	7133
462	23987	7097
463	24083	7058
464	24178	7019
465	24267	6978
466	24369	6940
467	24474	6902
468	24581	6865
469	24673	6824
470	24770	6784
471	24874	6745
472	24975	6705
473	25070	6664
474	25190	6628
475	25287	6587
476	25388	6546
477	25428	6490
478	25460	6431
479	25493	6373
480	25527	6315
481	25560	6257
482	25594	6199
483	25686	6156
484	25749	6105
485	25779	6047
486	25812	5989
487	25846	5932
488	25881	5874
489	25911	5816
490	25946	5760
491	26047	5717
492	26145	5674
493	26261	5634
494	26367	5593
495	26464	5548
496	26570	5506
497	26678	5464
498	26779	5420
499	26872	5374
500	26978	5331
501	27081	5286
502	27197	5244
503	27376	5214
504	27417	5157
505	27449	5099
506	27480	5040
507	27510	4982
508	27542	4924
509	27577	4866
510	27624	4811
511	27741	4768
512	27850	4723
513	27966	4679
514	28061	4631
515	28182	4587
516	28285	4540
517	28382	4492
518	28487	4446
519	28693	4414
520	28855	4375
521	29025	4337
522	29175	4295
523	29361	4258
524	29475	4210
525	29622	4167
526	29751	4121
527	29867	4072
528	30096	4039
529	30162	3983
530	30211	3925
531	30249	3866
532	30290	3807
533	30335	3749
534	30375	3690
535	30415	3631
536	30455	3572
537	30491	3513
538	30529	3455
539	30571	3396
540	30609	3338
541	30661	3281
542	30717	3224
543	30765	3167
544	30807	3109
545	30846	3050
546	30884	2992
547	30917	2933
548	30955	2875
549	30986	2816
550	31019	2758
551	31053	2700
552	31084	2641
553	31117	2583
554	31149	2525
555	31183	2467
556	31214	2409
557	31247	2351
558	31280	2294
559	31314	2236
560	31345	2179
561	31376	2121
562	31409	2064
563	31444	2007
564	31484	1950
565	31516	1893
566	31551	1836
567	31581	1779
568	31615	1722
569	31647	1665
570	31681	1609
571	31711	1552
572	31747	1495
573	31778	1439
574	31811	1383
575	31845	1326
576	31880	1270
577	31917	1214
578	31952	1158
579	31992	1103
580	32029	1047
581	32062	991
582	32108	936
583	32147	880
584	32186	825
585	32218	769
586	32251	714
587	32289	658
588	32326	603
589	32358	548
590	32391	493
591	32422	438
592	32458	383
593	32499	328
594	32535	273
595	32564	218
596	32593	163
597	32622	109
598	32654	54
599	32689	0
