iter	Passed	Remaining
402	7986	1922
403	8004	1902
404	8023	1882
405	8041	1861
406	8060	1841
407	8080	1822
408	8099	1802
409	8119	1782
410	8138	1762
411	8160	1742
412	8190	1725
413	8209	1705
414	8228	1685
415	8247	1665
416	8265	1645
417	8284	1625
418	8302	1604
419	8320	1584
420	8340	1565
421	8358	1544
422	8378	1525
423	8398	1505
424	8417	1485
425	8436	1465
426	8454	1445
427	8472	1425
428	8491	1405
429	8509	1385
430	8527	1365
431	8546	1345
432	8564	1325
433	8583	1305
434	8602	1285
435	8622	1265
436	8640	1245
437	8657	1225
438	8676	1205
439	8695	1185
440	8713	1165
441	8732	1145
442	8752	1126
443	8769	1106
444	8789	1086
445	8807	1066
446	8825	1046
447	8843	1026
448	8863	1006
449	8883	987
450	8902	967
451	8921	947
452	8939	927
453	8959	907
454	8977	887
455	8996	868
456	9014	848
457	9033	828
458	9052	808
459	9071	788
460	9089	768
461	9108	749
462	9130	729
463	9149	709
464	9168	690
465	9186	670
466	9204	650
467	9223	630
468	9243	610
469	9262	591
470	9281	571
471	9300	551
472	9320	532
473	9341	512
474	9361	492
475	9381	473
476	9401	453
477	9421	433
478	9441	413
479	9460	394
480	9479	374
481	9498	354
482	9517	334
483	9536	315
484	9555	295
485	9573	275
486	9592	256
487	9612	236
488	9630	216
489	9650	196
490	9668	177
491	9686	157
492	9704	137
493	9724	118
494	9745	98
495	9764	78
496	9783	59
497	9802	39
498	9821	19
499	9840	0
