iter	Logloss
0	0.6700690394
1	0.6500429372
2	0.6335933156
3	0.6181858348
4	0.6039035875
5	0.5914621612
6	0.5809988062
7	0.571435636
8	0.5628867443
9	0.5555238801
10	0.5490821332
11	0.5432612497
12	0.5375338394
13	0.5329570435
14	0.5291094515
15	0.5252465067
16	0.5219934271
17	0.518812607
18	0.5163040669
19	0.5139670117
20	0.5114832818
21	0.5091234856
22	0.5070524945
23	0.5055829773
24	0.50396603
25	0.5023311995
26	0.500848666
27	0.4996661142
28	0.4985204028
29	0.4975409936
30	0.4964663952
31	0.4955425877
32	0.4947714328
33	0.4938464058
34	0.4932058605
35	0.492607821
36	0.4919869747
37	0.4913297602
38	0.4906964468
39	0.4901228621
40	0.4896465923
41	0.4892095123
42	0.4887691116
43	0.4883463804
44	0.4880282484
45	0.4876551638
46	0.4873372426
47	0.487063577
48	0.4867447644
49	0.4864395527
50	0.4861292222
51	0.4857438302
52	0.4854755257
53	0.4852167662
54	0.4849358013
55	0.4847648961
56	0.4844519478
57	0.484255201
58	0.4840256948
59	0.483814986
60	0.4835504769
61	0.4832806617
62	0.4831904148
63	0.4830059058
64	0.4828369589
65	0.4826512308
66	0.4824929606
67	0.4823383452
68	0.482216926
69	0.482059105
70	0.4819436817
71	0.4817995576
72	0.4816911624
73	0.4815123155
74	0.481361725
75	0.4812228802
76	0.4810814739
77	0.4809777369
78	0.4808390391
79	0.4806342644
80	0.4805169467
81	0.4803964593
82	0.480291921
83	0.4801961299
84	0.4800919087
85	0.4799437007
86	0.4797944826
87	0.4797145731
88	0.4796121079
89	0.4794524082
90	0.4793402152
91	0.4792508921
92	0.4791648062
93	0.4790635516
94	0.4789962828
95	0.4788253517
96	0.478736445
97	0.4786249873
98	0.4785252258
99	0.4783912046
100	0.4782955775
101	0.4781996485
102	0.4781400883
103	0.4780568275
104	0.477948616
105	0.4778797744
106	0.4777391243
107	0.4776550053
108	0.4775438773
109	0.4774866496
110	0.4773943767
111	0.4773032177
112	0.477250899
113	0.4771951329
114	0.4771462235
115	0.4770969111
116	0.4770239964
117	0.4769230695
118	0.4768323701
119	0.4767284957
120	0.4766334766
121	0.4765383873
122	0.476479127
123	0.476383822
124	0.4763033889
125	0.4762174919
126	0.4761806425
127	0.4760819628
128	0.4760619239
129	0.4760333205
130	0.4759709504
131	0.4758762507
132	0.475831382
133	0.4757511332
134	0.4756610306
135	0.4756114681
136	0.4755677102
137	0.4754918295
138	0.4754227061
139	0.4753605495
140	0.4753117252
141	0.4752224965
142	0.4751614887
143	0.4751214405
144	0.4750702674
145	0.4749826772
146	0.4748960073
147	0.4748613807
148	0.474767072
149	0.4746897013
150	0.4746212063
151	0.4745494993
152	0.4744686387
153	0.4744020725
154	0.4743759568
155	0.4743087424
156	0.4742669949
157	0.4742290716
158	0.4741871533
159	0.4741067057
160	0.474048381
161	0.4739903564
162	0.4739418213
163	0.4738563109
164	0.4737995706
165	0.4737105663
166	0.4736531447
167	0.4735862587
168	0.4735085488
169	0.4734480711
170	0.473395052
171	0.4733414022
172	0.4732871287
173	0.4732380698
174	0.4732024375
175	0.4731342926
176	0.4730674351
177	0.473006367
178	0.4729498023
179	0.4728817007
180	0.472794686
181	0.4727649984
182	0.4727257136
183	0.4726806674
184	0.4726528439
185	0.4726053678
186	0.4725549689
187	0.472487794
188	0.472441789
189	0.4723649344
190	0.4723149777
191	0.4722836769
192	0.4722578572
193	0.4722097884
194	0.4721770478
195	0.4721068602
196	0.4720684375
197	0.4720277864
198	0.4719452953
199	0.4718769074
200	0.4718509833
201	0.4717917411
202	0.4717141151
203	0.4716581409
204	0.4716175961
205	0.4715405889
206	0.4715080525
207	0.4714552504
208	0.471391804
209	0.4713590023
210	0.4713287062
211	0.4712572268
212	0.4711904931
213	0.4711465476
214	0.4710995737
215	0.4710547181
216	0.4710057781
217	0.4709425044
218	0.4708843539
219	0.4708356878
220	0.4707788171
221	0.4707133093
222	0.4706789358
223	0.4705960239
224	0.4705359516
225	0.4704807468
226	0.4704462161
227	0.4703710788
228	0.4703285585
229	0.4702583567
230	0.4701917157
231	0.4701507883
232	0.4700866538
233	0.4700278195
234	0.4699654212
235	0.4699395819
236	0.4698866205
237	0.4698427786
238	0.4697796338
239	0.4697413712
240	0.4696950669
241	0.4696414207
242	0.4695721802
243	0.4695356488
244	0.4694762818
245	0.4694190142
246	0.4693747748
247	0.4693087112
248	0.469259661
249	0.4691830848
250	0.4691362669
251	0.4690776374
252	0.4690049632
253	0.4689555629
254	0.4688797677
255	0.4688425693
256	0.4687739936
257	0.4687191328
258	0.4686435192
259	0.4685605636
260	0.4685056638
261	0.4684366909
262	0.4683857035
263	0.4683478587
264	0.4682780858
265	0.4682081341
266	0.4681348447
267	0.4680817429
268	0.4679941802
269	0.4679300424
270	0.4678452633
271	0.4677830469
272	0.4677184203
273	0.4676684997
274	0.467609595
275	0.4675216669
276	0.4674576288
277	0.4673997032
278	0.4673422903
279	0.4672896409
280	0.4672284503
281	0.4671686853
282	0.4671053476
283	0.4670484187
284	0.4669956579
285	0.4669435178
286	0.4669029942
287	0.4668347899
288	0.4667859964
289	0.4667288267
290	0.4666807946
291	0.4666256704
292	0.4665819026
293	0.4665454767
294	0.4664998135
295	0.4664482702
296	0.4664020278
297	0.4663320963
298	0.4662830729
299	0.4662292956
300	0.466166473
301	0.4661148853
302	0.4660616918
303	0.4659860944
304	0.4659321731
305	0.4658622301
306	0.4657936261
307	0.4657516662
308	0.4656897493
309	0.465643622
310	0.4655633156
311	0.4655499478
312	0.465479813
313	0.4654400527
314	0.4653921464
315	0.4653388461
316	0.4652748769
317	0.4651841326
318	0.4651242318
319	0.4650478822
320	0.4649947726
321	0.464914718
322	0.4648472524
323	0.4647921865
324	0.4647350877
325	0.4646708191
326	0.4646128511
327	0.4645649621
328	0.4645268055
329	0.4644458277
330	0.4644025975
331	0.4643203576
332	0.4642667543
333	0.4642136687
334	0.4641485273
335	0.4641050384
336	0.464033779
337	0.4639907277
338	0.4639451664
339	0.4638641122
340	0.4638263877
341	0.4637806877
342	0.4637248478
343	0.463690372
344	0.4636133319
345	0.463527875
346	0.4634846231
347	0.4634451263
348	0.4634054113
349	0.4633524406
350	0.4632863816
351	0.4632415076
352	0.4631936563
353	0.4631446885
354	0.4630737423
355	0.4630187838
356	0.462980696
357	0.462935938
358	0.4628619456
359	0.4628335211
360	0.4627815906
361	0.4627421715
362	0.4627004976
363	0.46264242
364	0.4626040581
365	0.4625449527
366	0.4625042098
367	0.4624505506
368	0.462420658
369	0.4623766254
370	0.4623227457
371	0.4622606238
372	0.4622142445
373	0.4621547224
374	0.4621120138
375	0.4620568299
376	0.4619865646
377	0.4619272734
378	0.4618804993
379	0.4618284419
380	0.4617520682
381	0.4616949961
382	0.461625375
383	0.4615962745
384	0.4615094455
385	0.4614471623
386	0.461402563
387	0.4613624009
388	0.4612874399
389	0.4612432704
390	0.4611808176
391	0.4611417101
392	0.4610732322
393	0.4610020508
394	0.4609431957
395	0.4608873532
396	0.4608428616
397	0.4607898069
398	0.4607273793
399	0.4606858372
400	0.4606435141
401	0.4605717773
402	0.4604970187
403	0.4604615642
404	0.4604167532
405	0.4603612604
406	0.4603240163
407	0.4602582055
408	0.4602039518
409	0.4601573049
410	0.4601081531
411	0.4600651625
412	0.4600226862
413	0.459968399
414	0.45991183
415	0.4598578127
416	0.459814521
417	0.4597626912
418	0.4597297366
419	0.4596995522
420	0.4596638969
421	0.4596264292
422	0.4595647153
423	0.4595244004
424	0.4594744326
425	0.4594294687
426	0.4593928885
427	0.459343746
428	0.4593016377
429	0.4592474916
430	0.4592072768
431	0.4591605793
432	0.459098188
433	0.4590363549
434	0.458968986
435	0.4589137446
436	0.4588754615
437	0.4588292316
438	0.4587847746
439	0.4587448523
440	0.4586944051
441	0.4586345318
442	0.4585736559
443	0.4585304509
444	0.4584781961
445	0.4584437147
446	0.458414695
447	0.4583741084
448	0.4582986656
449	0.4582313697
450	0.4581579225
451	0.4581154142
452	0.4580900641
453	0.4580303287
454	0.4579903268
455	0.457942841
456	0.4578787502
457	0.4578197997
458	0.4577599841
459	0.4577179465
460	0.457668386
461	0.4576210706
462	0.4575636066
463	0.4575176221
464	0.4574651001
465	0.4574180419
466	0.457384075
467	0.4573198726
468	0.4572822974
469	0.4572475227
470	0.4571983128
471	0.4571535307
472	0.4571088503
473	0.4570359992
474	0.4569788851
475	0.456952874
476	0.4568983621
477	0.4568544764
478	0.4567887803
479	0.4567256368
480	0.4566744246
481	0.4566287476
482	0.456569348
483	0.4565096368
484	0.456463078
485	0.4564316122
486	0.4563645031
487	0.456306715
488	0.4562740577
489	0.4562356025
490	0.4561883738
491	0.4561551756
492	0.4561259805
493	0.456060159
494	0.4560108818
495	0.4559714845
496	0.455914888
497	0.4558834489
498	0.4558334606
499	0.4557837831
